floor,county,log_radon,log_uranium
1,AITKIN,0.8329091229351041,-0.689047595
0,AITKIN,0.8329091229351041,-0.689047595
0,AITKIN,1.0986122886681098,-0.689047595
0,AITKIN,0.09531018,-0.689047595
0,ANOKA,1.1631508098056809,-0.84731286
0,ANOKA,0.9555114450274363,-0.84731286
0,ANOKA,0.47000362924573563,-0.84731286
0,ANOKA,0.09531018,-0.84731286
0,ANOKA,-0.223143551,-0.84731286
0,ANOKA,0.26236426446749106,-0.84731286
0,ANOKA,0.26236426446749106,-0.84731286
0,ANOKA,0.336472237,-0.84731286
0,ANOKA,0.4054651081081644,-0.84731286
0,ANOKA,-0.693147181,-0.84731286
0,ANOKA,0.1823215567939548,-0.84731286
0,ANOKA,1.5260563034950492,-0.84731286
0,ANOKA,0.336472237,-0.84731286
0,ANOKA,0.7884573603642703,-0.84731286
0,ANOKA,1.791759469228055,-0.84731286
0,ANOKA,1.2237754316221157,-0.84731286
0,ANOKA,0.6418538861723948,-0.84731286
0,ANOKA,1.7047480922384253,-0.84731286
0,ANOKA,1.856297990365626,-0.84731286
0,ANOKA,0.6931471805599453,-0.84731286
0,ANOKA,1.9021075263969203,-0.84731286
0,ANOKA,1.1631508098056809,-0.84731286
0,ANOKA,1.9315214116032136,-0.84731286
0,ANOKA,1.9600947840472698,-0.84731286
0,ANOKA,2.0541237336955462,-0.84731286
0,ANOKA,1.667706820558076,-0.84731286
0,ANOKA,1.5260563034950492,-0.84731286
0,ANOKA,1.5040773967762742,-0.84731286
0,ANOKA,1.0647107369924282,-0.84731286
0,ANOKA,2.1041341542702074,-0.84731286
0,ANOKA,0.5306282510621705,-0.84731286
0,ANOKA,1.4586150226995167,-0.84731286
0,ANOKA,1.7047480922384253,-0.84731286
0,ANOKA,1.410986973710262,-0.84731286
0,ANOKA,0.8754687373538999,-0.84731286
0,ANOKA,1.0986122886681098,-0.84731286
0,ANOKA,0.4054651081081644,-0.84731286
0,ANOKA,1.2237754316221157,-0.84731286
0,ANOKA,1.0986122886681098,-0.84731286
1,ANOKA,0.6418538861723948,-0.84731286
1,ANOKA,-1.203972804,-0.84731286
