iteration,incumbent_aic,incumbent_bic,incumbent_MAE,incumbent_MSE,incumbent_MAE_TEST,incumbent_MSE_TEST,incumbent_MAE_VAL,incumbent_MSE_VAL,incumbent_RMSE_VAL,incumbent_RMSE_TEST,incumbent_RMSE,incumbent_sol_num,incumbent_num_parm,incumbent_pval_exceed,incumbent_pval_percentage,incumbent_loglik,incumbent_simple,incumbent_CAIC,incumbent_DIC,incumbent_HQIC,incumbent_AICc,best_aic,best_bic,best_MAE,best_MSE,best_MAE_TEST,best_MSE_TEST,best_MAE_VAL,best_MSE_VAL,best_RMSE_VAL,best_RMSE_TEST,best_RMSE,best_sol_num,best_num_parm,best_pval_exceed,best_pval_percentage,best_loglik,best_CAIC,best_DIC,best_HQIC,best_AICc
2,10995.862240924893,11545.405019584327,0.10894946649995373,0.06896135816967232,0.11415410491246111,0.0788890049590156,10000000.0,10000000.0,10000000.0,0.28087186573064876,0.2626049469634423,23,23,22,0.9565217391304348,-5474.931120462446,f_nb,11105.43159382183,11032.362899292842,11037.787863686552,10997.174963873764,10995.862222501006,11545.40500116044,0.10894944828486687,0.06896127187424432,0.11415390357706998,0.07888882129408722,10000000.0,10000000.0,10000000.0,0.2808715387754466,0.26260478265683646,19.0,23.0,22.0,0.9565217391304348,-5474.931111250503,11105.431575397943,11032.362880868955,11037.787845262665,10997.174945449877
7,10995.86224052003,11545.405019179463,0.10894950352768881,0.06896130793579344,0.1141541946442388,0.07888895885673168,10000000.0,10000000.0,10000000.0,0.2808717836606797,0.2626048513180848,28,23,22,0.9565217391304348,-5474.931120260015,f_nb,11105.431593416966,11032.36289888798,11037.787863281688,10997.1749634689,10995.862222501006,11545.40500116044,0.10894944828486687,0.06896127187424432,0.11415390357706998,0.07888882129408722,10000000.0,10000000.0,10000000.0,0.2808715387754466,0.26260478265683646,19.0,23.0,22.0,0.9565217391304348,-5474.931111250503,11105.431575397943,11032.362880868955,11037.787845262665,10997.174945449877
14,10995.862238318776,11545.40501697821,0.10894951907839796,0.06896129201079981,0.11415413529495791,0.0788888922698786,10000000.0,10000000.0,10000000.0,0.2808716651246234,0.2626048209968732,35,23,22,0.9565217391304348,-5474.931119159388,f_nb,11105.431591215713,11032.362896686725,11037.787861080435,10997.174961267647,10995.862222501006,11545.40500116044,0.10894944828486687,0.06896127187424432,0.11415390357706998,0.07888882129408722,10000000.0,10000000.0,10000000.0,0.2808715387754466,0.26260478265683646,19.0,23.0,22.0,0.9565217391304348,-5474.931111250503,11105.431575397943,11032.362880868955,11037.787845262665,10997.174945449877
15,50556.86503851847,51101.64508767097,0.9217153766269017,0.8925024745877512,0.9239365217933263,0.8975010073739547,10000000.0,10000000.0,10000000.0,0.9473652977463101,0.9447234910743731,36,22,22,1.0,-25256.432519259233,f_p,50661.67050650684,50591.778711739986,50596.96780811658,50558.066938756,10995.862222501006,11545.40500116044,0.10894944828486687,0.06896127187424432,0.11415390357706998,0.07888882129408722,10000000.0,10000000.0,10000000.0,0.2808715387754466,0.26260478265683646,19.0,23.0,22.0,0.9565217391304348,-5474.931111250503,11105.431575397943,11032.362880868955,11037.787845262665,10997.174945449877
16,50976.214240472036,51520.99428962454,0.9300952919357761,0.9085567590696254,0.932722167974302,0.9144969549885017,10000000.0,10000000.0,10000000.0,0.9562933414954334,0.9531824374534108,37,22,22,1.0,-25466.107120236018,f_p,51081.01970846041,51011.127913693555,51016.317010070146,50977.41614070957,10995.862222501006,11545.40500116044,0.10894944828486687,0.06896127187424432,0.11415390357706998,0.07888882129408722,10000000.0,10000000.0,10000000.0,0.2808715387754466,0.26260478265683646,19.0,23.0,22.0,0.9565217391304348,-5474.931111250503,11105.431575397943,11032.362880868955,11037.787845262665,10997.174945449877
17,51148.62474671945,51693.40479587195,0.9328805777203347,0.9149703795379246,0.9357579750306471,0.921313881852067,10000000.0,10000000.0,10000000.0,0.9598509685633843,0.9565408404965909,38,22,22,1.0,-25552.312373359724,f_p,51253.43021470782,51183.53841994097,51188.72751631756,51149.82664695698,10995.862222501006,11545.40500116044,0.10894944828486687,0.06896127187424432,0.11415390357706998,0.07888882129408722,10000000.0,10000000.0,10000000.0,0.2808715387754466,0.26260478265683646,19.0,23.0,22.0,0.9565217391304348,-5474.931111250503,11105.431575397943,11032.362880868955,11037.787845262665,10997.174945449877
18,50061.891316404624,50606.67136555713,0.912691380978751,0.8742182465679078,0.9152549822061443,0.8799372507260711,10000000.0,10000000.0,10000000.0,0.9380497058930678,0.9349963885320134,39,22,22,1.0,-25008.945658202312,f_p,50166.696784392996,50096.804989626144,50101.994086002735,50063.093216642155,10995.862222501006,11545.40500116044,0.10894944828486687,0.06896127187424432,0.11415390357706998,0.07888882129408722,10000000.0,10000000.0,10000000.0,0.2808715387754466,0.26260478265683646,19.0,23.0,22.0,0.9565217391304348,-5474.931111250503,11105.431575397943,11032.362880868955,11037.787845262665,10997.174945449877
19,50698.19848226818,51242.97853142068,0.9245861015148427,0.8978513555857007,0.9279677608637918,0.9052434238067492,10000000.0,10000000.0,10000000.0,0.9514428116322857,0.9475501863150578,40,22,22,1.0,-25327.09924113409,f_p,50803.00395025655,50733.112155489696,50738.30125186629,50699.40038250571,10995.862222501006,11545.40500116044,0.10894944828486687,0.06896127187424432,0.11415390357706998,0.07888882129408722,10000000.0,10000000.0,10000000.0,0.2808715387754466,0.26260478265683646,19.0,23.0,22.0,0.9565217391304348,-5474.931111250503,11105.431575397943,11032.362880868955,11037.787845262665,10997.174945449877
20,50473.77123601715,51018.551285169655,0.9201778129185396,0.8897608816187451,0.9234833675270354,0.8970239482994724,10000000.0,10000000.0,10000000.0,0.9471134822709856,0.9432713722035377,41,22,22,1.0,-25214.885618008575,f_p,50578.57670400552,50508.68490923867,50513.87400561526,50474.97313625468,10995.862222501006,11545.40500116044,0.10894944828486687,0.06896127187424432,0.11415390357706998,0.07888882129408722,10000000.0,10000000.0,10000000.0,0.2808715387754466,0.26260478265683646,19.0,23.0,22.0,0.9565217391304348,-5474.931111250503,11105.431575397943,11032.362880868955,11037.787845262665,10997.174945449877
26,10995.862243466327,11545.40502212576,0.10894958591570983,0.06896121686208237,0.11415433458383596,0.07888885737399555,10000000.0,10000000.0,10000000.0,0.28087160300392694,0.2626046779135558,48,23,22,0.9565217391304348,-5474.931121733163,f_nb,11105.431596363263,11032.362901834276,11037.787866227985,10997.174966415198,10995.862222501006,11545.40500116044,0.10894944828486687,0.06896127187424432,0.11415390357706998,0.07888882129408722,10000000.0,10000000.0,10000000.0,0.2808715387754466,0.26260478265683646,19.0,23.0,22.0,0.9565217391304348,-5474.931111250503,11105.431575397943,11032.362880868955,11037.787845262665,10997.174945449877
